target,1rank,2rank,3rank
702,2629,530,1690
1460,1460,1327,908
791,791,1867,612
1439,1439,1201,472
1459,1459,864,1841
1939,2575,1939,561
2506,2629,530,1690
1396,492,1321,2144
1382,1382,1877,2713
1014,1634,1014,920
898,898,1387,1761
90,90,1649,2564
897,897,2567,1194
425,1576,425,2620
1753,1753,2068,81
67,1898,1575,67
1134,1134,1805,1112
516,516,1742,422
1486,1486,2118,2272
2351,2351,1647,1003
2310,2310,2485,331
175,175,1776,926
1547,1547,1806,2630
1426,1426,1845,1894
1598,1598,2118,1964
1289,238,1998,1289
1879,1879,551,2380
1599,1599,2249,1009
1880,1880,1805,1134
607,607,2282,786
610,610,552,10
1228,1228,1813,12
1229,1229,2612,141
611,611,906,1073
1076,1076,1582,896
1276,868,1276,1762
1629,1629,1392,698
2726,2726,2538,322
282,282,1423,325
1643,1643,2139,727
1597,1597,1869,2087
1868,1868,1841,2064
1596,1596,825,603
638,1750,257,638
354,354,1718,1924
2378,2378,714,446
805,1543,805,363
1691,1691,146,208
1544,1544,110,1082
2317,2317,2036,966
1659,1659,1130,1306
1087,1087,2509,844
2275,1713,2275,953
2276,1042,1208,1633
2277,2277,2212,640
668,668,169,1509
2051,1704,2051,2586
2405,2405,944,2167
570,1909,570,1047
810,810,1799,266
205,567,205,1336
2595,2595,27,2437
1543,1543,805,363
2571,2571,52,1892
1825,915,1825,96
841,1772,841,1587
2580,2580,2161,2203
783,783,1184,2437
601,601,1428,1217
2443,2443,366,834
881,881,2376,2373
2524,313,1635,2524
651,651,2222,590
2115,2115,2710,949
2354,2083,28,2354
1406,1461,1406,1952
1166,1166,683,1730
981,967,981,75
778,1894,778,2609
1118,1324,1118,429
1117,1117,2146,1020
1834,1834,639,2520
2679,2679,643,977
1309,1309,982,2332
1310,1310,1975,2687
1307,923,1307,2730
1308,1050,1308,2066
2687,2687,1975,200
2488,2488,1211,1921
2526,2526,991,1008
1135,1135,2724,2278
2557,2557,414,2142
413,492,1321,2144
1077,1077,2272,1439
313,313,1635,2524
2648,2596,2361,2648
1626,1626,199,1806
852,852,1845,1046
1648,1342,2207,489
1983,1983,48,1239
961,961,595,312
1967,1376,1967,2404
775,2263,775,404
2532,2532,672,2551
1151,877,1151,464
2400,3,2324,519
2531,492,1321,2144
2398,2398,2647,1683
2530,848,2530,946
2529,1342,2207,489
2528,2528,1490,867
885,885,2332,2274
1662,1662,308,1408
285,285,1671,572
286,286,1735,108
251,2057,251,2054
250,250,1186,1464
249,249,174,1225
118,688,93,1935
2064,2064,92,37
781,781,2231,1225
2640,2640,1375,1602
563,563,2035,2023
581,238,1998,1289
1173,492,1321,2144
1489,1489,494,835
115,2092,115,1673
1853,1853,1935,93
1462,1462,1380,2370
2708,163,1010,1321
2618,1219,741,1165
1585,1585,2410,2286
1699,1699,529,1248
349,349,1657,1472
350,2512,350,943
1196,1355,1299,109
1194,2727,2030,1259
2050,2050,1872,1520
1193,1592,2548,619
2048,1701,2048,1308
1195,163,1010,1321
2049,164,78,63
574,163,1010,1321
575,294,575,2423
576,576,127,1043
1208,1042,1208,1633
1379,1379,2142,810
1774,1774,1492,979
1812,1812,2510,316
1844,163,1010,1321
2547,2093,2547,829
1843,1843,467,1132
1842,1842,2033,1725
1192,1192,1341,811
2188,2188,1746,575
547,547,1551,588
1767,1767,588,2259
546,546,54,762
1931,1931,1806,1547
2429,2429,1843,1506
2682,2047,2682,2085
1953,1953,1537,259
2671,2671,1306,1130
770,1568,2122,1736
2459,2459,192,151
612,1997,612,1867
2160,2160,1615,1176
2197,2197,585,2015
2358,2358,1074,1435
2389,2389,617,2663
664,664,1261,2411
710,710,2626,538
708,513,708,2503
1705,1705,635,2518
1944,1944,1931,2721
1007,1007,2213,613
107,107,1210,1561
2215,2215,400,1089
1203,1203,1885,2722
628,628,877,176
1202,1202,1269,206
1204,1204,2368,382
1176,2160,1615,1176
826,826,2167,1263
1345,1345,1012,20
592,592,2705,2195
2292,2292,2349,1257
741,1219,741,1165
1147,1147,197,597
2554,571,388,1230
123,123,706,537
360,360,2388,1279
2360,382,2360,1204
1179,899,1179,2146
1188,1188,56,2112
2396,2396,1913,2331
750,750,789,1548
1230,571,388,1230
669,669,2018,1071
2665,2665,320,490
1907,1907,1748,2432
1416,163,1010,1321
1855,498,99,1855
1407,2103,1407,1880
2308,2308,1053,2668
2162,2162,2392,2686
786,786,1389,962
1008,1008,2691,2526
2587,2587,2218,1035
2357,1200,2357,2625
734,734,151,2302
850,850,1387,2601
851,851,314,526
2608,2608,1877,2713
1311,1311,2327,782
1102,1102,363,2231
2303,2017,211,2303
2322,1042,1208,1633
2233,2233,192,2375
203,203,432,1546
227,227,691,2052
1558,1558,1720,801
479,479,2162,2375
1238,1238,2630,452
1562,1562,778,1392
463,463,89,1372
464,464,1527,1897
1033,1033,785,928
1034,1034,1823,2535
764,764,624,74
356,356,469,1421
886,362,1553,886
1493,1493,1965,2585
1494,1494,1335,476
499,1679,499,909
498,498,99,1855
1010,1010,2681,2463
1550,1550,233,938
2375,2375,2058,151
1330,1330,589,2256
408,408,2134,2574
571,571,388,1230
2493,2493,1901,2196
2411,2411,2069,2615
1321,492,1321,2144
2204,2204,82,125
2494,212,2494,752
835,835,2252,537
1755,1755,1388,1777
964,964,461,1605
1657,1657,349,663
1079,1079,2104,737
2566,2566,2480,1303
1658,1658,2450,920
2613,2613,1625,1848
2614,2614,2365,174
2615,2615,1984,2411
1674,492,1321,2144
2551,2551,1646,1388
1987,2433,1987,296
1986,1986,646,2636
1985,1985,1205,1584
1498,1498,2097,2295
1984,1984,2615,1539
1119,1119,1182,644
890,890,776,454
762,54,762,546
755,755,1237,1548
1465,1465,810,1799
2205,2205,1959,1126
2385,2385,752,2494
11,11,1453,1274
1797,1797,1934,1019
1800,238,1998,1289
1799,810,1799,266
1798,1798,228,1037
50,163,1010,1321
2052,2052,227,459
2673,2673,863,1696
2507,1224,2689,2507
1445,1445,931,121
828,828,891,2043
1381,1381,830,2404
959,2407,1167,819
1760,1760,1868,119
1367,1367,1391,1925
958,492,1321,2144
949,1214,949,1770
956,1354,2573,952
946,946,1265,2394
947,947,1525,603
722,1385,722,2542
948,2083,28,2354
950,950,2505,1389
951,492,1321,2144
957,957,2294,1709
952,1354,2573,952
953,953,2275,1713
955,955,444,1679
954,492,1321,2144
1766,1766,545,713
1513,1513,2326,2090
1517,304,1517,712
1516,974,315,1516
1515,1515,533,74
1514,1514,2110,2190
1519,1519,249,174
281,659,281,1949
1518,1518,1217,1367
916,2237,1914,916
433,433,592,2665
2174,1268,1859,2174
407,2639,407,2501
723,723,888,1656
2116,1810,2116,513
967,967,981,75
2014,2336,2014,1908
2015,2015,2197,2087
2016,1354,2573,952
2017,2017,211,2303
2018,1240,2018,2268
2020,2020,429,781
2019,2019,2089,112
2013,2013,1962,1052
2426,2426,1158,401
1125,461,1125,1248
1632,1632,2046,2355
2623,2623,306,1313
1055,1200,2357,2625
1056,1138,1056,1476
314,314,263,2094
1057,1057,677,18
1133,1133,2339,332
1270,1270,214,297
2516,2516,1845,2241
117,163,1010,1321
531,531,859,61
1415,1415,746,689
362,362,1553,886
2517,2517,1216,223
204,204,2582,2223
2515,2515,366,2064
2519,2519,1087,1293
2518,2518,2084,2559
