target,1rank,2rank,3rank
164,164,78,63
454,454,1303,2621
2245,2245,721,1260
720,720,2587,187
51,58,1963,637
2252,2252,835,537
417,994,417,2347
469,469,1960,1421
1863,1863,2081,2593
2655,2655,476,1197
7,7,1485,541
501,501,947,2353
1420,1750,257,638
2121,2121,251,2057
1304,1790,1941,361
1884,1884,858,1125
1832,1362,1832,694
263,263,51,1535
2404,1491,2394,2367
991,991,2705,2195
1573,1143,2202,1171
1572,1572,1810,2116
1574,1574,2419,1858
1575,1898,1575,67
1571,1571,140,825
160,160,1999,974
1717,1717,440,1796
1054,1054,796,2413
2457,2457,1400,1803
620,620,159,2650
386,386,1870,640
246,430,246,1247
262,262,1719,506
1160,2138,1160,809
2578,2578,273,2027
735,735,2484,2489
2217,773,2217,1765
2010,2010,2331,1958
1086,1086,2281,2348
1363,1363,1359,2231
291,291,1221,1697
1765,1765,728,2217
1593,1593,666,2373
1654,1654,507,1923
590,590,1136,1035
2091,2091,2065,231
2089,112,2089,312
2090,2090,1078,1513
373,492,1321,2144
2584,492,1321,2144
2105,2105,2156,1366
1831,1831,957,1281
2144,492,1321,2144
2032,2032,715,1233
1399,1399,2582,660
582,582,1878,797
1955,1955,116,351
587,1682,587,2071
208,208,2009,1531
1938,1938,2120,1695
2695,2695,2361,2596
1673,1673,1971,486
1442,492,1321,2144
1036,1036,775,404
1035,2218,1035,590
1443,1443,84,674
260,260,992,1090
119,119,73,892
272,272,2268,2018
827,943,1413,2321
633,633,434,1255
2653,2653,2073,424
1942,164,78,63
1377,960,2316,1377
190,190,2285,2692
893,893,1068,1434
1542,1542,1220,1100
921,1398,921,2118
162,162,1032,898
163,163,1856,1411
