target,1rank,2rank,3rank,4rank,5rank,6rank,7rank,8rank,9rank
846,1750,257,638,1828,2,47,1233,583,846
1444,1444,2189,434,1780,2067,1803,1255,1841,2698
1610,492,1321,2144,1915,2584,373,1896,954,951
1609,295,1609,1475,1698,2686,98,1929,15,632
586,1044,1893,586,1483,2330,646,1099,1681,2648
1059,2657,1059,1016,2113,632,2475,818,2468,1558
1503,1503,228,1496,389,1967,946,1376,1265,2394
1502,1502,1620,1469,1621,1406,525,1415,2037,1461
1667,2169,1667,247,1836,128,871,1273,673,98
1105,2626,1105,1086,186,888,977,2243,1285,511
1106,1106,31,1601,1045,2381,849,701,85,767
441,934,441,1670,837,2178,1156,692,1213,988
1980,1980,419,612,525,1867,1997,2009,1551,288
2029,2029,145,2619,1316,237,2650,547,420,1917
219,258,219,650,899,992,260,1148,1179,2466
1447,1447,2068,81,2372,876,432,2375,2225,2421
2707,2258,578,2707,1028,1948,1446,988,1532,1213
1446,1028,988,1446,1213,1948,1532,658,1909,570
1506,1506,1843,2429,1274,1382,1132,467,1238,1093
1507,1592,2548,619,1507,1193,1692,1092,2597,2296
807,807,1326,1899,885,170,1185,2044,2042,2332
2067,2067,1943,1972,548,1444,2189,1826,653,180
1318,1318,2701,251,2057,1694,2698,1111,1172,2054
1175,1175,552,610,10,783,657,613,1131,2193
1594,1594,2289,1940,1966,1732,1302,2195,2705,1269
1668,800,1333,1284,1668,177,1560,32,1253,1285
2626,2626,1105,1086,186,888,977,2243,1285,511
1881,1881,446,621,307,1877,2713,2213,1223,1711
2627,705,2627,823,2731,822,2525,1357,1484,2309
2301,2301,2386,922,2583,1536,906,2483,611,857
2338,2338,1105,2626,1177,2157,1827,977,1086,888
1741,1741,232,1791,1015,716,2209,704,2642,2607
405,405,2317,901,966,1652,1193,1692,2296,219
2467,2467,528,55,771,1226,4,1608,1174,614
2120,2120,1315,157,2559,452,2630,1938,355,1711
2664,2664,1024,1626,1547,1382,199,936,266,1806
1822,1822,131,166,644,1182,1243,1307,2394,749
1429,201,1429,2306,1576,2544,2620,1885,1700,2112
1697,1697,251,2057,771,1172,2121,1174,2054,140
2464,2464,301,554,220,2157,1102,1881,1566,363
1719,1719,262,1347,16,692,2156,1049,2212,2277
1394,738,733,1394,562,2091,1486,1398,921,2524
1729,1729,1660,2368,2629,302,530,1018,0,1190
2415,2536,2415,2659,1920,322,1130,175,1113,955
231,231,54,762,2091,1003,1100,546,525,1676
1126,1959,1126,1529,677,2205,1971,1854,115,2092
2312,2312,324,1572,1288,596,1121,2461,1825,1236
808,740,111,808,669,1185,1512,2634,170,1654
457,163,1010,1321,2411,2493,571,408,1330,2375
858,858,1082,110,1884,358,598,1544,2419,1858
1401,1401,1617,1049,692,2068,2532,1222,672,1519
2729,2729,1279,401,2124,580,2545,706,123,689
2652,2652,2643,687,178,2661,2639,407,2501,745
1969,1969,2195,2705,1015,1875,1381,937,592,1940
1149,1149,1767,2505,588,1187,2259,1190,24,1579
1487,1487,206,2261,1063,844,2287,1658,1967,1376
1378,2244,1378,1508,1948,1213,1532,1730,2660,2013
1258,1258,436,2670,1698,768,1735,2658,758,15
1864,1864,27,1024,2452,2664,1613,660,1554,2250
1559,1559,347,1189,1944,402,1170,1031,541,2713
2026,2026,2108,739,161,1664,860,22,398,2638
616,2398,2647,1683,616,873,1655,2371,359,893
2583,2583,2608,467,1958,330,707,2713,2301,1877
1237,1237,884,2711,755,945,1754,1081,1630,178
2510,1812,2510,316,497,2721,213,938,1353,1890
1491,1491,2394,2367,2404,1063,206,2730,1302,1265
1282,1282,2716,2000,1938,2120,30,810,1161,2429
2250,2250,190,1081,2523,2724,27,2372,2285,815
2670,2670,1258,768,436,392,1163,2509,2724,321
942,163,1010,1321,2411,2493,571,408,1330,2375
1099,1099,2718,2298,2695,2330,75,130,1483,1044
129,129,1248,1191,2460,2208,604,1125,461,1106
128,128,1667,2169,12,2118,247,1836,1228,774
1017,1017,2641,1968,2119,1916,1348,911,604,15
1613,1613,2480,15,1543,145,190,2414,805,392
2439,2439,920,2455,1256,193,1658,2045,1833,776
332,1133,2339,332,310,1069,1023,675,2295,1325
2416,2416,1577,444,691,263,1362,631,1219,1973
2504,2504,1706,1021,2465,1452,1178,1751,1847,397
1066,1066,1898,1037,67,1575,1051,272,476,483
2485,2310,2485,331,642,1973,631,389,1165,824
691,691,1577,1402,2416,227,1939,264,2575,132
2656,2656,2628,557,135,138,530,136,2665,2288
2373,2373,1234,1482,633,2187,228,881,2530,1241
2649,2649,91,645,549,104,658,2645,1228,1287
603,603,1596,2420,659,281,947,1093,1949,825
853,853,1784,1769,986,2126,1951,495,1023,866
709,709,2104,1079,1455,781,737,192,1084,1469
1956,1956,2126,866,532,853,2649,2181,168,935
1661,1661,503,569,1088,375,2003,1321,862,544
