target,1rank,2rank,3rank,4rank,5rank
2447,2447,172,1826,1545,2709
140,140,1571,771,608,2193
2101,1004,2254,2101,79,2206
105,105,261,2500,912,221
289,289,2456,1345,742,1012
1965,1493,1965,2585,1479,857
919,919,511,1087,1764,184
2299,239,2299,856,758,171
2219,1787,2219,2194,406,2425
1739,238,1998,1289,1696,2592
2454,2454,816,509,957,74
2158,2158,143,2305,2563,2660
288,288,1970,2015,598,312
192,192,2459,709,2233,2152
1512,1512,612,1997,1867,803
185,185,2415,2536,917,1141
1314,1314,31,81,1452,1031
2333,2333,1393,2318,1618,941
548,1943,548,653,1780,1255
1649,1649,512,1563,1317,2172
248,248,355,1400,2417,856
222,222,1531,818,1630,1637
1809,1996,1809,213,2721,1353
2651,2651,2617,1620,1269,1063
626,626,1770,949,1214,2343
2572,492,1321,2144,1915,2584
2573,1354,2573,952,2341,2016
992,260,992,1090,277,2638
2212,2277,2212,640,2097,1324
2527,2527,1436,1348,1457,1449
1595,1595,1242,1450,2598,817
1165,1219,741,1165,631,1973
418,418,974,1516,2019,315
2536,2536,2415,2659,1920,322
1298,1298,205,229,567,1414
1299,1355,1299,109,1196,403
2200,163,1010,1321,2411,2493
2198,163,1010,1321,2411,2493
2199,2199,1574,595,112,312
1972,1972,2067,548,1943,2189
2605,2605,1243,1490,517,204
1241,1241,2287,2045,2706,1634
1326,1326,2044,807,132,459
2630,2630,452,266,1132,1806
212,212,2494,752,1715,2071
1520,1520,2050,1080,2463,2694
1521,1521,834,336,1079,2104
1522,1522,2132,326,1287,1036
1021,1021,2504,2362,397,694
2391,2391,301,1582,2471,2564
2081,2081,1863,1321,1896,2003
279,279,2005,333,608,547
1577,2416,1577,444,691,263
1528,1528,561,2070,60,329
2046,2046,1393,986,1632,1695
278,238,1998,1289,1696,2592
54,54,762,546,525,1551
2036,966,2036,1781,980,2317
1245,1245,388,2554,1230,571
48,48,1423,325,1983,282
62,62,564,2728,1567,804
2546,2546,357,1525,427,2650
13,13,1486,1865,1849,2622
1552,1552,84,674,629,2130
1553,362,1553,886,1250,688
1256,1256,40,0,1784,2455
1712,2060,1712,2160,2501,1615
2610,2610,734,1417,1026,2058
679,1976,2038,699,679,1873
2502,2502,2712,2568,5,1587
2228,2228,2329,2026,2108,80
