,accord_text
 Menta & Alecrim,
 Ãmbar,
 Aurora,
 Baunilha,
 Boemia,
 Bossa,
 Carioca,
 Cedro,
 Couro,
 Eau de Toilette Suzette,
 Elixir 1870,
 Ãpoque Tropical,
 Eucalipto,
 FantÃ¡stico Circo,
 Folha de Laranjeira,
 Folha Imperial,
 FrÃ©sia,
 GerÃ¢nio & Grapefruit,
 Imperial,
 Lavanda,
 LimÃ£o Taiti & Neroli,
 LÃ­rio,
 MagnÃ³lia,
 Musk,
 Oud,
 Passeio Encantado,
 Rosa Damascena,
 SafÃ¡ri Encantado,
 SÃ¢ndalo,
 Tonka,
 Verbena,
 Vetiver,
 Vetiver & Lavanda,
 Violeta,
 Adelaide em Flor Flor de LÃ³tus,
 Adelaide em Flor Rosa Colombiana,
 Enigma,
 Eterna,
 Eterna Blue,
 Eterna Crystal,
 Eterna Nuit,
 Grace,
 Grace La Rose Sublime,
 Grace Midnight,
 Grand,
 Grand Noir,
 Grand Reserva,
 Hype for Her,
 Hype for Him,
 Inebriante,
 Joyful,
 Joyful Party Time,
 LesÃ©r,
 Rebelle,
 Rebelle Madness,
 Dazzle,
 Dazzle Celebration,
 Dazzle Color ChÃ¡mpagne,
 Dazzle Color FÃºcsia,
" Ella Crazy in Love
 ",
 Ella Dream of Me,
 Ella First Love,
 Ella Forever,
 Ella Happy Romance,
 Ella Juicy,
 Ella Love Story,
 Ella PÃ©rolas,
 Ella Radiance,
 Empire,
 Empire Gold,
 Empire Intense,
 Empire Sport,
 Empire VIP,
 Feelin' Impulse for Her,
 Feelin' Impulse for Him,
 Feelin' Para Ela,
 Feelin' Para Ele,
 Feelin' Sexy For Her,
 Feelin' Sexy For Him,
 H Men,
 H Men Icy,
 Hype Street Art for Her,
 Hype Street Art for Him,
 Lattitude Adventure,
 Lattitude City,
 Lattitude Cruise,
 Lattitude Expedition,
 Lattitude High Speed,
 Lattitude Off Road,
 Lattitude Origini,
 Lattitude Stamina,
 Lattitude Trekking,
 Life Calm,
 Life Energy,
 Life Refresh,
 Spot for Her,
 Spot for Him,
 Spot Sunset for Her,
 Spot Sunset for Him,
 Venyx,
 Venyx L'or,
 Altum Magnis,
 Aurum,
 Aventhis,
 Black Flower,
 Cherry Lush,
 Code Promen,
 Codice Uno,
 Colossus,
 D'eau ExtrÃªme,
 Dark Water,
 Delicious Vanilla,
 Eau de Sauvegy,
 Fabulous Secret,
 Green Pool,
 Hall Ury Sport,
 Havana Man,
 He Man,
 Intensity,
 Irish Green Man,
 Le Essence Men,
 Lord Town,
 LumiÃ©re EnchantÃ©e,
 Magnifique,
 Malt Bottle,
 Miss D'Noir,
 My Party Up,
 Nero Del Porto,
 New Aventhis,
 Pride L'Homme,
" Red Sauce
 ",
 Sauvegy,
 Spice Citrus,
 Sweetobacco,
 Terra,
 Tersus,
 The Barbarian,
 The Blue,
 The Gentlemen,
 Ultramen,
 Valente Intenso,
" Versus Pour Homme
 ",
 Euphoria Sensuale,
 Fusion Ãnigmatique,
 Omnia IV,
 Origine Un,
 Maxximus IX,
 SucrÃ© Juteux,
 41 Graus,
 41 Graus,
 Ana Hickmann,
 Arlequina,
 Aviva,
 Bella,
 Bleu Nautique,
 Bleu Yacht Club,
 Bom Dia & Cia Alegria by Silvia Abravanel,
 Camaro,
 Carinha de Anjo,
 CauÃ£ Reymond Intenso,
 Champs Fort,
 Champs Velocite,
 Chiquititas DiversÃ£o,
 CÃºmplices de um Resgate Iza,
 CÃºmplices de um Resgate Manu,
 Deluxe,
 Desvendar,
 Elas Pop Day,
 Elas Rock Party,
 Elixir,
 Elixir,
 Fabio Jr.,
 Fabio Jr.,
 Fernanda Souza,
 Fontainebleau Indigo,
 Fontainebleau Orange,
 Her,
 Her Brave,
 Hot Wheels Monster Trucks,
 Juliana Paes Deluxe,
 Juliana Paes Glam,
 L'Attitude Libre,
 L'Attitude Musique,
 La Vie En Rose Paris,
 Lis,
 Livre Absoluto,
 MaÃ§Ã£ do Amor,
 Man,
 Mulher Maravilha,
 Mustang Black,
 Oro,
 Oro RosÃ©,
 PenÃ©lope Charmosa,
 Portiolli Red,
 Sabrina Sato,
 Sophia AbrahÃ£o Love,
 Stame,
 Stigma,
 Thiaguinho,
 Thiaguinho,
 Tiago Abravanel,
 Xuxa Meneghel,
 Zinc Homme,
 Abyssal,
 Abyssal Homem Energy,
 Abyssal Homem Hot,
 Abyssal MediterranÃªo,
 Adriane Galisteu,
 Adriane Galisteu Black,
 Adriane Galisteu Exotic,
 Adriane Galisteu Fashion,
 Adriane Galisteu Forever,
 Adriane Galisteu Paradise,
 Adriane Galisteu Style,
 Aire Altitude,
 Aire,
 Aire 02,
 Aire City,
 Aire Electric,
 Aire Energy,
 Aire Evolution,
 Aire Freedom,
 Aire Movimento,
 Ana Furtado,
 Ana Furtado Radiante,
 Anitta,
 Anitta Fatale,
 Anitta IrresistÃ­vel,
 Anitta TentaÃ§Ã£o,
 Clube da Anittinha,
 As Meninas Superpoderosas,
 As Meninas Superpoderosas Docinho,
 As Meninas Superpoderosas Florzinha,
 As Meninas Superpoderosas Lindinha,
 Bem-Me-Quer ChÃ©rie,
 Bem-Me-Quer com Amor,
 Bem-Me-Quer com DelÃ­cias Candy,
 Bem-Me-Quer com DelÃ­cias Sugar,
 Bem-Me-Quer com DelÃ­cias Sweet,
 Bem-Me-Quer com Desejo,
 Bem-Me-Quer com DoÃ§ura,
 Bem-Me-Quer com Encanto,
 Bem-Me-Quer com Fantasia,
 Bem-Me-Quer Com Magia,
 Bem-Me-Quer com Romance,
 Bem-Me-Quer Good Vibe,
 Bem-Me-Quer I Love,
 Bem-Me-Quer Inspire Amizade,
 Bem-Me-Quer Inspire Amor,
 Bem-Me-Quer Inspire ConfianÃ§a,
 Bem-Me-Quer Inspire Paz,
 Bem-Me-Quer Kiss,
 Bem-Me-Quer Pontinhos,
 Bem-Me-Quer Sereia,
