,accord_text
 Violette Vanille,
 Wild Musk,
 Yummy Candy,
 AlaÃ¯a,
 AlaÃ¯a Eau de Parfum Blanche,
 AlaÃ¯a Extrait de Parfum,
 AlaÃ¯a Nude,
 Faubourg,
 Le Royal,
 Legacy Black,
 Legacy WB,
 Legacy White,
 Oscent Black,
 Oscent Pink,
 Oscent Rouge,
 Oscent White,
 St Honore,
 Black Beetle,
 Imperial Peacock,
 Majestic Nard,
 Ode To Rose,
 Oriental Enigma,
 The Majestic Amber,
 The Majestic Jardin,
 The Majestic Musk,
 The Majestic Oud,
 The Majestic Vetiver,
 Altesse Mysore,
 Argentic,
 Black Muscs,
 Golden Oud,
 Iris Violet,
 Mandarine Sultane,
 Morning Muscs,
 Rose Alba,
 Rose Oud,
 Silver Ombre,
 Zafeer Oud Vanille,
 Heaven,
 Liyoli,
 Pure Art,
 Western Leather Black,
 Western Leather Goldskin,
 Western Leather White,
 Aube Rubis,
 Bois Sikar,
 Cuir SacrÃ©,
 Iris Fauve,
 Larmes du DÃ©sert,
 Lune Feline,
 Musc Immortel,
 Rose Omeyyade,
 Pomelo Riviera,
 Riviera Drive,
 Riviera Lazuli,
 Riviera Sunrise,
 Rouge SarÃ¢y,
 Blanc Polychrome,
 Choeur Des Anges,
 CrÃ©puscule Des Ãmes,
 Nuda Veritas,
 Acteur,
 Azzaro 9,
 Azzaro by Parfums Loris Azzaro 1975,
 Azzaro Couture,
 Azzaro Sport,
 Azzaro Sport Eau de Toilette,
 Azzura,
 Blue Charm,
 Boarding,
 Cockpit,
 Decibel,
 Eau Belle D'Azzaro,
 Jetlag,
 Jolie Rose,
 Oh La La,
 Onyx,
 Silver Black,
 Travelling,
 Azzaro Chrome Aqua,
 Azzaro Chrome Extreme,
 Azzaro Chrome Intense,
 Azzaro Chrome Limited Edition 2014,
 Azzaro Chrome Limited Edition 2015,
 Azzaro Chrome Summer,
 Chrome,
" Chrome Eau de Parfum
 ",
 Chrome Legend,
 Chrome Limited Edition 2016,
 Chrome Pure,
 Chrome Sport,
 Chrome Summer Edition 2013,
 Chrome Under the Pole,
 Chrome United,
 Azzaro Club Men,
 Azzaro Club Women,
 Azzaro Duo Men,
 Azzaro Duo Women,
 Azzaro Now Men,
 Azzaro Now Women,
 Azzaro Pour Elle,
 Azzaro Pour Elle Eau de Toilette,
 Azzaro Pour Elle Extreme,
 Azzaro pour Homme,
 Azzaro Pour Homme Cologne Intense,
 Azzaro Pour Homme Ãdition Noire,
 Azzaro Pour Homme Elixir,
 Azzaro pour Homme Intense,
 Azzaro Pour Homme Intense (2015),
 Azzaro Pour Homme L'Eau,
 Azzaro Pour Homme Limited Edition 2014,
 Azzaro Pour Homme Limited Edition 2015,
 Azzaro Pour Homme Limited Edition 2016,
 Azzaro Pour Homme Night Time,
 Azzaro Pour Homme Summer Edition 2013,
 Azzaro Pour Homme Amber Fever,
 Azzaro Pour Homme Ginger Lover,
 Azzaro Pour Homme Hot Pepper,
 Azzaro Pour Homme Naughty Leather,
 Azzaro Pour Homme Wild Mint,
 Fun,
 Sea,
 Shine,
 Twin for Men,
 Twin for Women,
 Bright Visit,
 Visit For Men,
 Visit for Women,
 Azzaro pour Homme Bois Precieux,
 Azzaro pour Homme Elixir Bois Precieux,
 Chrome Bois Precieux,
 Aqua CÃ¨dre Blanc,
 Azzaro Aqua,
 Azzaro Aqua Frost,
 Azzaro Aqua Verde,
 Mademoiselle,
 Mademoiselle Azzaro L'Intense Eau de Parfum,
 Mademoiselle L'Eau TrÃ¨s Charmante,
 Mademoiselle L'Eau Tre?s Florale,
 Mademoiselle L?Eau Tre?s Belle,
 Pure Cedrat,
 Pure Lavender,
 Pure Vetiver,
 Solarissimo Favignana,
 Solarissimo Levanzo,
 Solarissimo Marettimo,
 Orange Tonic,
 Pink Tonic,
 Pink Tonic Butterfly Edition,
 The Most Wanted,
 The Most Wanted Parfum,
 Wanted,
 Wanted by Night,
 Wanted Freeride,
 Wanted Girl,
 Wanted Girl By Night,
 Wanted Girl Tonic,
 Wanted Tonic,
 Bouquet de Hongrie,
 CrÃ¨me de Cuir,
 French Bouquet,
 Gris Charnel,
 Gris Charnel Extrait,
 Nuit De Sable,
 Oud Abramad,
 Pas Ð¡e Soir,
 Rouge Smoking,
 Tabac Rose,
 Tubereuse Imperiale,
 Velvet Tonka,
 Wood Jasmin,
 Citrus Riviera,
 Sel d'Argent,
 Villa NÃ©roli,
 B,
 Boucheron,
 Boucheron Eau Legere,
 Boucheron Eau Legere 2005,
 Boucheron Eau Legere 2006,
 Boucheron Femme Baccarat Limited Edition,
 Boucheron Femme Eau de Parfum (2012),
 Boucheron Fleurs,
 Boucheron Fraicheur Florale,
 Boucheron Homme Eau de Toilette Fraicheur 2008,
 Boucheron Limited Edition 25th Anniversary,
 Boucheron Pour Homme,
 Boucheron pour Homme Collector Eau de Parfum,
 Initial,
 Initial Perle de Soleil,
 Jeweler Boucheron Edition - Boucheron Eau de Parfum,
 La Collection du Joaillier,
 Miss Boucheron,
 Miss Boucheron Jeweler Edition - Miss Boucheron Eau de Parfum,
 Trouble,
 Trouble eau Legere,
 Trouble Iridescent Eau Legere,
 Trouble Joaillier,
 Boucheron Quatre,
 Boucheron Quatre Absolu de Nuit Pour Femme,
 Boucheron Quatre Absolue de Nuit Pour Homme,
 Boucheron Quatre En Rose,
 Boucheron Quatre Intense,
 Boucheron Quatre Intense Pour Homme Eau de Toilette,
 Boucheron Quatre Pour Homme,
 Quatre en Bleu,
 Quatre En Rouge,
 Quatre Iconic,
 Jaipur,
 Jaipur Bouquet,
 Jaipur Bracelet,
 Jaipur Bracelet Limited Edition,
 Jaipur Homme,
 Jaipur Homme Eau de Parfum,
 Jaipur Homme Fraicheur,
 Jaipur Homme Fraicheur Epicee,
 Jaipur Homme Limited Edition,
 Jaipur Saphir,
 Ambre D'Alexandrie,
 Cuir de Venise,
 FÃ¨ve Tonka de Canaima,
 Iris de Syracuse,
 NÃ©roli d'Ispahan,
 Orange De Bahia,
 Oud de Carthage,
 Patchouli d?Angkor,
 Rose d'Isparta,
 Santal de Kandy,
 TubÃ©reuse De Madras,
 Vanille de Zanzibar,
 Boucheron Place Vendome Elixir,
 Place VendÃ´me,
 Place Vendome Eau de Toilette,
 Place Vendome White Gold,
 Serpent BohÃ¨me,
 Clin d'Oeil,
 Clin d'Oeil Cosmic Girl,
 Clin d'Oeil Coup de Foudre,
 Clin d'Oeil Excentric,
 Clin d'Oeil Lady Rock,
 Clin d'Oeil Lovely Girl,
 Clin d'Oeil Passionate,
 Clin d'Oeil PassionnÃ© Eau Fraiche,
 Clin d'Oeil Porte Bonheur,
 Clin d'Oeil Silver Dream,
 Clin d'Oeil Sweet Kiss,
 Clin d'Oeil Urban Girl,
 Evasion,
 Flamme,
 Kobako,
 Kobako Sensuelle,
 Kobako Vintage Edition,
 Mais Oui,
 Masculin 2,
 Masculin 2 Black Instant,
 Masculin 2 Gold Fever,
 Masculin 2 Vetyver,
 Masculin Acier,
 Masculin Acier Sport,
 Masculin Aguirre,
 Masculin Barbare,
 Masculin Equateur,
 Masculin Ouragan,
 Masculin Unique,
 Masculine Evasion,
 Mon Parfum,
 Or Masculin,
 Ramage,
 Soir de Paris (Evening in Paris),
 La Fantastique,
 La Formidable,
 La MagnÃ©tique,
" Glamour Chic
 ",
 Glamour Excessive,
 Glamour Fantasy,
 Glamour Lovely,
 Agaressence,
 Ambre Noir,
 Avenue Montaigne,
 Captive,
 Contre Pouvoir,
 Eau Blanche,
 Eau Libre,
 Eau Trouble,
 Esprit Mondain,
 Farah,
 Ibiza Addiction,
 L?Amoureuse,
 Mauvais Garcon,
 Off to Ibiza,
 Solaire,
 Subtile,
 Subversif,
 Osmanthus Guilin,
 Oud Santal,
 Poivre Bengale,
 Rosa Gallica,
 A Kiss from a Rose,
 A Taste of Heaven,
 Apple Brandy,
 Back to Black,
 Beyond Love,
 Black Phantom,
 Cruel Intentions,
 Dark Lord,
 Do It For Love,
 Good Girl Gone Bad Eau FraÃ®che,
 Good Girl Gone Bad Extreme,
" Kologne, Shield of protection",
 Lemon in Zest,
 Liaisons Dangereuses,
 Love and Tears,
 Love by Kilian,
 Love Eau FraÃ®che,
 Love Extreme,
 Moonlight in Heaven,
 Musk Butterfly,
 Noir Aphrodisiaque,
 Pearl Oud,
 Prelude to Love,
 Rolling in Love,
 Royal Leather,
 Straight to Heaven,
 Straight to Heaven Extreme,
 Straight to Heaven Oud and Musk Special Blend 2021,
 Sweet Redemption,
 Vodka on the Rocks,
 Voulez-Vous Coucher Avec Moi,
 Intoxicated,
 Light My Fire,
 Smoke for the Soul,
 Amber Oud,
 Black Oud,
 Eternal Oud,
 Extreme Oud,
 Gold Oud,
 Incense Oud,
 Musk Oud,
 Pure Oud,
 Rose Oud,
 Bamboo Harmony,
 Flower of Immortality,
 Imperial Tea,
 Sacred Wood,
 The Lotus Flower and the King Dragon,
 The Peach Flowers Water Source,
 The Peony Pavilion,
 Water Calligraphy,
 Moonlight in Heaven CroisiÃ¨re,
 Gold Knight,
 Woman in Gold,
 Single Malt,
 Forbidden Games,
 Good Girl Gone Bad,
 In the City of Sin,
 Playing With The Devil,
 Love the way you Feel,
 Love the way you Taste,
 Bad Boys Are No Good But Good Boys Are No Fun,
 Fun Things Always Happen After Sunset,
 I Don't Need A Prince By My Side To Be A Princess,
 I Don't Need A Prince By My Side To Be A Princess - Rose de Mai,
" I Never Make The Same Mistake Twice, Unless They're Crazy Hot",
 Kissing Burns 6.4 Calories An Hour. Wanna Work Out?,
" Let's Settle This Argument Like Adults, In The Bedroom, Naked",
" Yes I Was Madly In Love, But That Was Yesterday",
 Sophie Matisse Art Edition Bamboo Harmony,
" Sophie Matisse Art Edition Good Girl Gone Bad, Splash of Neroli",
" Sophie Matisse Art Edition Straight To Heaven, Splash Of Lemon",
 Love by Kilian Rose and Oud,
 Love by Kilian Rose and Oud Special Blend 2020,
 Criminal of Love,
 Dangerously in Love,
 Killing Me Slowly,
 Kisses Don't Lie,
 Some Like It Hot,
 Angels' Share,
 Angels' Share x French Montana,
 Apple Brandy on the Rocks,
 L'Heure Verte,
 Roses on Ice,
 Cacharel pour L'Homme,
 Catch...Me,
 Gloria,
 LibertÃ©,
 Nemo,
 Scarlett,
 Amor Amor,
 Amor Amor Absolu,
 Amor Amor by Lili Choi,
 Amor Amor Delight,
 Amor Amor Eau Fraiche 2005,
 Amor Amor Eau Fraiche 2006,
 Amor Amor Electric Kiss,
 Amor Amor Elixir Passion,
 Amor Amor Forbidden Kiss,
 Amor Amor In a Flash,
 Amor Amor Love Festival,
 Amor Amor Mon Parfum Du Soir,
 Amor Amor Shine,
 Amor Amor Summer 2011,
 Amor Amor Summer 2012,
 Amor Amor Sunrise,
 Amor Amor Sunshine,
 Amor Amor Tentation,
 Amor pour Homme,
 Amor pour Homme Sunshine,
 Amor Pour Homme Tentation,
 Anais Anais,
 Anais Anais Eau LÃ©gÃ¨re,
 Anais Anais Flower Edition,
 Anais Anais L?Original Eau de Parfum,
 Anais Anais L?Original Eau de Toilette,
 Anais Anais Parfum Concentree,
 Anais Anais Premier Delice,
 Amor Amor L'Eau,
 Anais Anais Premier Delice L'Eau,
 Noa L?Eau,
 Eau d'Eden,
 Eden,
 Agua de Amor Amor,
 AnaÃ¯s AnaÃ¯s Premier DÃ©lice L'Eau (2018),
 Noa L'Eau (2018),
 Amor Amor L'Eau Flamingo,
 AnaÃ¯s AnaÃ¯s Premier DÃ©lice L'Eau Flamingo,
 Noa L'Eau Flamingo,
 Le Jardin Amor Amor,
 Le Jardin Anais Anais,
 Le Jardin Eden,
 Le Jardin LouLou,
 Le Jardin Noa,
 Le Jardin Scarlett,
 Amor Amor Le Paradis,
 Anais Anais Le Paradis,
 Noa Le Paradis,
 Scarlett Le Paradis,
 LouLou,
 LouLou Blue,
 Noa,
 Noa Dream,
 Noa Fleur,
 Noa Gold,
 Noa L'Eau de Parfum,
 Noa Perle,
 Noa Summer 2012,
 Noa Summer Edition,
 Promesse,
 Promesse Eau FraÃ®che,
 Amor Amor L?Eau,
 Catch Me...L'Eau,
 Noa L?Eau,
 Amor Amor L'Eau,
 Anais Anais Premier Delice L'Eau,
 Noa L?Eau,
 Yes I Am,
 Yes I Am Collector Edition,
" Yes I Am Delicious
 ",
 Yes I Am Fabulous,
 Yes I Am Glorious,
 Yes I Am Pink First,
 Cafe,
 Cafe Black Label,
 Cafe Expresso for Men,
 Cafe Expresso for Women,
 Cafe Gold Label,
 Cafe Green,
 Cafe Iced Pour Homme,
 Cafe Intenso,
 Cafe Men,
 Cafe Men 2,
 CafÃ© Noir Pour Homme,
 Cafe Pop,
 Cafe South Beach,
 Cafe-Cafe,
 Cafe-Cafe Adventure,
 Cafe-Cafe Adventure,
 Cafe-Cafe pour Homme,
 Cafe-Cafe Puro,
 Cafe-Cafe Puro,
 Cafe-Cafe Puro Iced,
 Cafeina,
 Cafeina pour Homme,
 Homme de CafÃ©,
 Bazar,
 Bazar pour Femme Summer Fragrance,
 Bazar pour Homme,
 Bazar Summer Fragrance New,
 C'est La Fete,
" C'est la Fete Patchouli
 ",
 C'est La Vie,
 Christian Lacroix,
 Eau Florale,
 Eau Florale Bleue,
 Noir,
 Rouge,
 Tumulte,
 Tumulte pour Homme,
 Clarins Men Energizer,
 Eau des Jardins,
 Eau Dynamisante,
 Eau Dynamisante 25th Anniversary Fragrance Spray,
 Eau Dynamisante Collector Heart Edition 2010,
 Eau Extraordinaire,
 Eau Ressourcante,
 Elysium,
 Par Amour,
 Par Amour Toujour,
 Sunshine Fragrance,
 8 88,
 Amazingreen,
 Andy Warhol's You're In,
 Black Eau de Toilette,
 Blackpepper,
 Comme des Garcons,
 Comme des Garcons 2,
 Comme des Garcons 2 Bijou,
 Comme des Garcons 2 Flower Power,
 Comme des Garcons 2 Love Hurts,
 Comme des Garcons 2 Man,
 Comme des Garcons 2 Silver Words,
 Comme des Garcons 2011,
 Comme des Garcons Eau de Cologne,
 Comme des Garcons Happy Pillow,
 Comme des Garcons White,
 Comme des Garcons x Undercover Holygrace,
 Comme des Garcons x Undercover Holygrapie,
 Comme des Garsons 3,
 Concrete,
 Copper,
 Daphne,
 Dot,
 Dover Street Market,
 ERL Sunscreen,
 Floriental,
 Ganja,
 Glitter,
 Gosha Rubchinskiy ?Ð¾?Ð° ??Ð±?Ð¸Ð½?ÐºÐ¸Ð¹,
 Grace,
 H&M,
 Marseille,
 Mirror by Kaws,
 Odeur 53,
 Odeur 71,
 Odeur Du ThÃ©Ã¢tre Du ChÃ¢telet Acte I,
 Over The Moon,
 Pearly Monster,
 Rouge,
 Serpentine,
 Standard,
 Stephen Jones Millinery,
 StÃ¼ssy Laguna Beach,
 Wonderoud,
 Wonderwood,
 Zero,
 Blue Cedrat,
 Blue Encens,
 Blue Santal,
 Scent Four: Yoyogi,
 Scent One: Hinoki,
 Scent Three: Sugi,
 Scent Two: Laurel,
 Comme des Garcons Series 1 Leaves: Mint,
 Comme des Garcons Series 1 Leaves: Calamus,
 Comme des Garcons Series 1 Leaves: Lily,
 Comme des Garcons Series 1 Leaves: Shiso,
 Comme des Garcons Series 1 Leaves: Tea,
 Celluloid Galbanum,
 Chlorophyll Gardenia,
 Radish Vetiver,
 Comme des Garcons Series 2 Red: Carnation,
 Comme des Garcons Series 2 Red: Harissa,
 Comme des Garcons Series 2 Red: Palisander,
 Comme des Garcons Series 2 Red: Rose,
 Comme des Garcons Series 2 Red: Sequoia,
 Comme des Garcons Series 3 Incense: Avignon,
 Comme des Garcons Series 3 Incense: Jaisalmer,
 Comme des Garcons Series 3 Incense: Kyoto,
 Comme des Garcons Series 3 Incense: Ouarzazate,
 Comme des Garcons Series 3 Incense: Zagorsk,
 Comme des Garcons Series 4 Cologne : Anbar,
 Comme des Garcons Series 4 Cologne : Citrico,
 Comme Des Garcons Series 4 Cologne : Vettiveru,
 Comme des Garcons Series 5 Sherbet: Cinnamon,
 Comme des Garcons Series 5 Sherbet: Peppermint,
 Comme des Garcons Series 5 Sherbet: Rhubarb,
 Comme des Garcons Series 6 Synthetic: Dry Clean,
 Comme des Garcons Series 6 Synthetic: Garage,
 Comme des Garcons Series 6 Synthetic: Skai,
 Comme des Garcons Series 6 Synthetic: Soda,
 Comme des Garcons Series 6 Synthetic: Tar,
 Comme des Garcons Series 7 Sweet: Burnt Sugar,
 Comme des Garcons Series 7 Sweet: Nomad Tea,
 Comme des Garcons Series 7 Sweet: Spicy Cocoa,
 Comme des Garcons Series 7 Sweet: Sticky Cake,
 Comme des Garcons Series 7 Sweet: Wood Coffee,
 Comme des Garcons Series 8 Guerrilla: Guerrilla 1,
 Comme des Garcons Series 8 Guerrilla: Guerrilla 2,
 Comme des Garcons Series Luxe: Champaca,
 Comme des Garcons Series Luxe: Patchouli,
 Luxe Champaca Eau de Toilette,
 Luxe Patchouli Eau de Toilette,
 Energy C Grapefruit,
 Energy C Lemon,
 Energy C Lime,
 Black,
 Comme des Garcons Play,
 Green,
 Red,
 Vogue 125,
 Barbier des Isles,
 Caramel Sunset,
 Coeur de Vahine,
 Cool Tropic Palm,
 Cool Tropic Paradise,
 Cool Tropic Turqouise,
 Cristal de Musc,
 Eau de Naphe,
 Eau de Parfum Aqua Motu Intense,
 Ecume de The,
 Fleurs des Caraibes,
 Harmonie Creole,
 Kumquat Alhambra,
 Matin Calin,
 Oud Intense,
 Princesse Muscat,
 Rizieres,
 Souffle des Indes,
 Vanille Amande,
 Vanille Blackberry,
 Vanille Cannelle,
 Vanille Citrus,
 Vanille Iconique,
 Vanille Mokha,
 Vanille Peach,
 Vanille Pineapple,
 Vanille Pitahaya,
 Vanille Tiare,
 Vetyver Haiti,
 YucatÃ¡n Secret,
 Eau de Biarritz,
 Eau des Tropiques,
 L'Eau du Gouverneur,
 Aloha Tiare Eau de Parfum,
 Aloha Tiare Eau de Toilette,
 Amour De Cacao,
 Aqua Motu Eau de Parfum,
 Aqua Motu Eau de Toilette,
 Bois De Filao,
 Coco Extreme,
 Coco Figue,
 Coeur d'Ylang,
 Eau des Lagons,
 Ãclats d?Amandes,
 Green Patchouli,
 Mora Bella,
 Musc & Roses,
 Musc Alize,
 Rhum & Tabac,
 Vanille Abricot,
 Vanille Ambre,
 Vanille CafÃ©,
 Vanille Coco,
 Vanille Extreme Eau de Parfum,
 Vanille Extreme Eau de Toilette,
 Vanille Passion,
 Cologne Mood,
 Immortel CÃ©drat,
 Jasmin Dentelle,
 Pomelo Fizz,
 Aoud de Nuit,
 Aouda,
 Hemisphere Sud,
 Le Roi Santal,
 Mage D'Orient,
 Nomaoud,
 O Pomelo - Pamplemousse,
 Sultan Safran,
 Vanille Banane,
 Bois Royal,
 Epices Sultanes,
 Jardin Neroli,
 Jasmin Poudre,
 Oudh Intense,
 Oudh Sensuel,
 Amerique de Courreges,
 Blanc de Courreges,
 C,
 Courreges 2020,
 Courreges Homme,
" Courreges in Blue
 ",
 Courreges In Blue Eau de Parfum,
 Courreges In Blue Eau de Toilette,
 Eau de Courreges,
 Eau de Courreges (new),
 Eau Hyper FraÃ®che,
 Empreinte,
 Empreinte (new),
 FH 77,
 Generation,
 Homme,
 Homme Sport,
 Hyperbole,
 L'Eau de Liesse,
 L'Empreinte,
 La Fille de l'Air,
 La Fille de L'Air (2021),
 La Fille de l'Air Eau d'Ete,
 La Fille de l'Air Iris,
 La Fille de L'Air Monoi,
 Mini Jupe,
 Niagara,
 Rose de Courreges,
 Seconde Peau,
 Slogan,
 Sweet Courreges,
 Sweet Courreges Legere,
 Wild Ocean,
 2030 Verbena Crush,
 2040 Nectar Tonka,
 2050 Berrie Flash,
 2060 Cedar Pulp,
 2000 Fleurs,
 250 Years Anniversary,
 Acier Aluminium,
 Acqua Fiorentina,
 Acqua Fiorentina The Encore,
 Amalfi Flowers,
 Ambre Cannelle,
 Angelique Encens,
 AngÃ©lique Encens (2019),
 Aubepine Acacia,
 Aventus,
 Aventus 10th Anniversary,
 Aventus Cologne,
 Aventus for Her,
 Aventus Oil,
 Baie de Genievre,
 Bayrhum Vetiver,
 Bois de Cedrat,
 Bois de Santal,
 Bois du Portugal,
 Chevrefeuille,
 Citrus Bigarrade,
 Creed Pour Enfants,
 Cuir de Russie,
 Cypres Musc,
 Epicea,
 Erolfa,
 Fantasia de Fleurs,
 Feuille Verte,
 Fleur de The Rose Bulgare,
 Fleurissimo,
 Fleurs de Bulgarie,
 Fleurs de Gardenia,
 Floralie,
 Green Irish Tweed,
 Green Valley,
 Himalaya,
 Imperatrice Eugenie,
 Irisia,
 Jasmal,
 Jasmin Imperatrice Eugenie,
 Les Floralies,
 Love in Black,
 Love in White,
 Love in White for Summer,
 Millesime 1849,
 MillÃ©sime ImpÃ©rial,
 Neroli Sauvage,
 Orange Spice,
 Original Santal,
 Original Vetiver,
 Rose Imperiale,
 Royal Ceylan,
 Royal Delight,
 Royal English Leather,
 Royal Mayfair,
 Royal Oud,
 Royal Princess Oud,
 Royal Scottish Lavender,
 Royal Water,
 Santal Imperial,
 Selection Verte,
 Silver Mountain Water,
 Spring Flower,
 Tabarome,
 Tubereuse Indiana,
 Vanisia,
 Vetiver,
 Viking,
 Viking Cologne,
 Vintage Tabarome,
 Virgin Island Water,
 Wind Flowers,
 Windsor,
 Zeste Mandarine,
 Zeste Mandarine Pamplemousse,
 Aberdeen Lavender,
 Asian Green Tea,
 Cedre Blanc,
 Citrus Bigarade,
 Green Neroli,
 Iris Tuberose,
 Vetiver Geranium,
 Zeste Mandarine,
 Jardin d?Amalfi,
 Original Cologne (Pure White Cologne),
 Royal Service,
 Spice and Wood,
 Sublime Vanille,
 White Amber,
 White Flowers,
 Cuba Black,
 Cuba Blossom,
 Cuba Blue,
 Cuba Blue Sky,
 Cuba Brazil,
 Cuba Brown,
 Cuba Cactus,
 Cuba Cactus for Men,
 Cuba Carnaval,
 Cuba Carnaval for women,
 Cuba Chic,
 Cuba City Hollywood for Men,
 Cuba City Hollywood for Women,
 Cuba City Las Vegas for Men,
 Cuba City Las Vegas for Women,
 Cuba City Miami,
 Cuba City Miami for men,
 Cuba City New York for men,
 Cuba City New York for women,
 Cuba Copacabana for Men,
 Cuba Copacabana for Women,
 Cuba Deluxe,
 Cuba Gold,
 Cuba Gold Lady,
 Cuba Green,
 Cuba Grey,
 Cuba Heartbreaker,
 Cuba Jungle Snake,
 Cuba Jungle Tiger,
 Cuba Jungle Zebra,
 Cuba La Vida,
 Cuba Legend,
 Cuba Love Dreams,
 Cuba Love Forever,
 Cuba Mademoiselle,
 Cuba Magnum,
 Cuba Magnum Blue,
 Cuba Magnum Gold,
 Cuba Magnum Red,
 Cuba Maya for woman,
 Cuba Maya for men,
 Cuba Milestone,
 Cuba My Love,
 Cuba Orange,
 Cuba Prestige,
 Cuba Prestige Black,
 Cuba Prestige Legacy,
 Cuba Prestige Platinum,
 Cuba Red,
 Cuba Royal,
 Cuba Shadow,
 Cuba Signature,
 Cuba Silver,
 Cuba Silver Blue,
 Cuba Strass Heartbreaker,
 Cuba Strass Snake,
 Cuba Strass Tiger,
 Cuba Strass Zebra,
 Cuba Tattoo,
 Cuba Too Sexy for You,
 Cuba Trouble,
 Cuba Victory,
 Cuba Vip,
 Cuba VIP for Men,
 Cuba VIP for Women,
 Cuba Wild Heart,
 Cuba Winner,
 Golden Absolute,
 Le Dandy,
 Ambre et Musc,
 Oud et Bois,
 Acte d?Amour Furtif A.N.,
 C?est Toujours AgrÃ©able d?Ãtre Attendu O.W.,
 Il N?y a Pas De Bien Ni De Mal T.J.,
 Il Ne Faut Pas Ãtre Plus Sage Qu?il Ne Faut S.P.,
 J'ai L'air De Ce Que Je Suis J.R.,
 J?approchais Un MystÃ¨re A.C.,
 Je Suis Le Plus Grand M.A.,
 Les Ombres Fantastiques A.R.,
 Quelque Chose Dans L?air S.C.,
 Songe Ã  La Douceur C.B.,
 Vouloir Ãtre Ailleurs C.G.,
 J.R.,
 O.W.,
 S.C.,
 S.P.,
 T.J.,
 Arome 3,
 Arome 3 Tradition,
 Camelia,
 Chevalier d'Orsay,
 Chypre d'Orsay,
 Etiquette Bleue,
 Intoxication,
 Intoxication (Vintage),
 Intoxication d'Amour,
 Intoxication d'Amour (Vintage),
 Mystere,
 Tilleul,
 Tilleul Friction de Nuit,
 Tilleul Pour La Nuit,
 L'Intrigante,
 La Dandy,
 Le Dandy Pour Homme,
 Le Nomade,
 Chris 1947,
 Dior Dior,
" Dior Me, Dior Me Not",
 Dior Star,
 Diorama,
 Diorella,
 Diorella Parfum,
 Diorever,
 Diorissimo,
 Diorling,
 Dolce Vita,
 Dolce Vita Parfum,
 Eau de Cologne FraÃ®che,
 Eau de Dior Coloressence Energizing,
 Eau de Dior Coloressence Relaxing,
 Eau de Dolce Vita,
 Eau Fraiche,
 Eau Svelte,
 Forever and Ever,
 Forever and Ever Dior,
 I Love Dior,
 Jules,
 Jules (2016),
 Lily,
 Lily Dior,
 Midnight Charm,
 Remember Me,
 Sweet Sun,
 Cruise Collection - Escale a Portofino,
 Cruise Collection Escale a Parati,
 Cruise Collection Escale a Pondichery,
 Cruise Collection Escale Aux Marquises,
 Addict To Life,
 Dior Addict,
 Dior Addict 2,
 Dior Addict 2 Eau Fraiche,
 Dior Addict 2 Logomania,
 Dior Addict 2 Sparkle in Pink,
 Dior Addict 2 Summer Breeze,
 Dior Addict 2 Summer Litchi,
 Dior Addict Dior Addict Dior Twist,
 Dior Addict Eau de Parfum,
 Dior Addict Eau de Parfum (2014),
 Dior Addict Eau de Toilette,
 Dior Addict Eau Delice,
 Dior Addict Eau Fraiche 2004,
 Dior Addict Eau Fraiche 2012,
 Dior Addict Eau Fraiche 2014,
 Dior Addict Eau Sensuelle,
 Dior Addict Limited Edition Collect It,
 Dior Addict Shine,
 Dior Addict Summer Peonies,
 Dior Homme,
 Dior Homme 2005,
 Dior Homme 2020,
 Dior Homme Cologne,
 Dior Homme Cologne 2013,
 Dior Homme Cologne 2022,
 Dior Homme Eau for Men,
 Dior Homme Intense 2007,
 Dior Homme Intense 2011,
 Dior Homme Original,
 Dior Homme Parfum,
 Dior Homme Sport,
 Dior Homme Sport 2012,
 Dior Homme Sport 2017,
 Dior Homme Sport 2021,
 Dior Homme Sport Very Cool Spray,
 Dior Homme Voyage,
 Dior Passage No.4,
 Dior Passage No.8,
 Dior Passage No.9,
 Dioressence,
 Dioressence Eau Parfumee,
 Dioressence Parfum,
 Dune,
 Dune Esprit de Parfum,
 Dune Pour Homme,
 Dune Sun,
 Eau Sauvage,
 Eau Sauvage 100% GlaÃ§on,
 Eau Sauvage Cologne,
 Eau Sauvage Extreme,
 Eau Sauvage Extreme 2010,
 Eau Sauvage Fraicheur Cuir,
 Eau Sauvage Parfum,
 Eau Sauvage Parfum 2017,
 Aqua Fahrenheit,
 Fahrenheit,
 Fahrenheit 0 Degree,
 Fahrenheit 32,
 Fahrenheit Absolute,
 Fahrenheit Cologne,
 Fahrenheit Le Parfum,
 Fahrenheit Summer,
 Fahrenheit Summer 2006,
 Fahrenheit Summer 2007,
 Higher,
 Higher Black,
 Higher Energy,
 J'adore,
 J'Adore Absolu,
 J'adore Adoration en or Limited Edition,
 J'Adore Anniversaire en Or,
 J'adore Body Mist,
 J'Adore Collector Anniversary Edition,
 J'adore Eau de Parfum Infinissime x India Mahdavi,
 J'adore Eau de Toilette 2002,
 J'adore Eau de Toilette 2011,
 J'Adore Extrait de Parfum,
 J'Adore Gold Supreme (Divinement Or),
 J'Adore In Joy,
 J'Adore Infinissime,
 J'Adore L'Absolu,
 J'Adore L'Absolu,
 J'adore L'eau Cologne Florale,
 J'Adore L'Or,
 J'Adore L'Or (2017),
 J'adore Le Jasmin,
 J'adore Lumiere Eau de Toilette,
